Year,CollegeCode,CollegeName,Branch,Category,Gender,CutoffRank
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,OC,M,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,OC,F,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,SC,M,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,SC,F,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,ST,M,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,ST,F,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,BC-A,M,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,BC-A,F,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,BC-B,M,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,BC-B,F,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,BC-C,M,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,BC-C,F,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,BC-D,M,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,BC-D,F,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,BC-E,M,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",AGR,BC-E,F,128160
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",CIV,OC,M,111668
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",CIV,OC,F,111668
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",CIV,SC,M,111668
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",CIV,SC,F,129732
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",CIV,ST,M,111668
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",CIV,ST,F,111668
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",CIV,BC-A,M,122096
2019,ABRK,"ABR COLLEGE OF ENGG ANDTECHNOLOGY",CIV,BC-A,F,122096
